15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:20; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:5026; ฮ๘่แ๊เ ๏๐่ ๗๒ๅํ่่ ๔๎๐์เ๒เ ý๒่๊ๅ๒๊่!
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:5015; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2013; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2014; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2015; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2016; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2017; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2020; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:2022; Ýา:%04u
15.02.2005; 14:58:13; อย:001; ฯะ:000; ภ; ฮฯ:01; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:0000; 
15.02.2005; 14:58:54; อย:001; ฯะ:000; ภ; ฮฯ:03; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:0000; 
15.02.2005; 14:58:55; อย:001; ฯะ:000; ภ; ฮฯ:20; าย:0000; าะ:0000; Ýา:0000; ฬั:000.000; ฬา:000.000; ฮุ:5073; ฯ๐่ํ๒ๅ๐ ํๅ ๏๎ไ๊๋þ๗ๅํ!
